"f"	"F"	"fr"	"fra"
"Egypt"	9	9	0.01875	0.01875
"Iran"	6	15	0.0125	0.03125
"Iraq"	22	37	0.0458333333333333	0.0770833333333333
"Jordan"	176	213	0.366666666666667	0.44375
"KuwaIT"	180	393	0.375	0.81875
"lebanon"	19	412	0.0395833333333333	0.858333333333333
"Lybia"	6	418	0.0125	0.870833333333333
"Morocco"	4	422	0.00833333333333333	0.879166666666667
"Palestine"	10	432	0.0208333333333333	0.9
"SaudiArabia"	16	448	0.0333333333333333	0.933333333333333
"Syria"	6	454	0.0125	0.945833333333333
"Tunis"	9	463	0.01875	0.964583333333333
"USA"	16	479	0.0333333333333333	0.997916666666667
"venzuela"	1	480	0.00208333333333333	1
"total"	480	NA	1	NA
