"f"	"F"	"fr"	"fra"
"Arabic"	59	59	0.122916666666667	0.122916666666667
"Biology"	30	89	0.0625	0.185416666666667
"Chemistry"	24	113	0.05	0.235416666666667
"English"	45	158	0.09375	0.329166666666667
"French"	65	223	0.135416666666667	0.464583333333333
"Geology"	24	247	0.05	0.514583333333333
"History"	19	266	0.0395833333333333	0.554166666666667
"IT"	95	361	0.197916666666667	0.752083333333333
"Math"	21	382	0.04375	0.795833333333333
"Quran"	22	404	0.0458333333333333	0.841666666666667
"Science"	51	455	0.10625	0.947916666666667
"Spanish"	25	480	0.0520833333333333	1
"total"	480	NA	1	NA
