"f"	"F"	"fr"	"fra"
"Egypt"	9	9	0.01875	0.01875
"Iran"	6	15	0.0125	0.03125
"Iraq"	22	37	0.0458333333333333	0.0770833333333333
"Jordan"	172	209	0.358333333333333	0.435416666666667
"KW"	179	388	0.372916666666667	0.808333333333333
"lebanon"	17	405	0.0354166666666667	0.84375
"Lybia"	6	411	0.0125	0.85625
"Morocco"	4	415	0.00833333333333333	0.864583333333333
"Palestine"	28	443	0.0583333333333333	0.922916666666667
"SaudiArabia"	11	454	0.0229166666666667	0.945833333333333
"Syria"	7	461	0.0145833333333333	0.960416666666667
"Tunis"	12	473	0.025	0.985416666666667
"USA"	6	479	0.0125	0.997916666666667
"venzuela"	1	480	0.00208333333333333	1
"total"	480	NA	1	NA
